Address,Data Type,Modbus Address,Function Code,Nickname,Initial Value,Retentive,Address Comment
X001,BIT,100001,"FC=02","",0,No,""
X002,BIT,100002,"FC=02","",0,No,""
X003,BIT,100003,"FC=02","",0,No,""
X004,BIT,100004,"FC=02","",0,No,""
X005,BIT,100005,"FC=02","",0,No,""
X006,BIT,100006,"FC=02","",0,No,""
X007,BIT,100007,"FC=02","",0,No,""
X008,BIT,100008,"FC=02","",0,No,""
X009,BIT,100009,"FC=02","",0,No,""
X010,BIT,100010,"FC=02","",0,No,""
X011,BIT,100011,"FC=02","",0,No,""
X012,BIT,100012,"FC=02","",0,No,""
X013,BIT,100013,"FC=02","",0,No,""
X014,BIT,100014,"FC=02","",0,No,""
X015,BIT,100015,"FC=02","",0,No,""
X016,BIT,100016,"FC=02","",0,No,""
X021,BIT,100017,"FC=02","",0,No,""
X022,BIT,100018,"FC=02","",0,No,""
X023,BIT,100019,"FC=02","",0,No,""
X024,BIT,100020,"FC=02","",0,No,""
X025,BIT,100021,"FC=02","",0,No,""
X026,BIT,100022,"FC=02","",0,No,""
X027,BIT,100023,"FC=02","",0,No,""
X028,BIT,100024,"FC=02","",0,No,""
X029,BIT,100025,"FC=02","",0,No,""
X030,BIT,100026,"FC=02","",0,No,""
X031,BIT,100027,"FC=02","",0,No,""
X032,BIT,100028,"FC=02","",0,No,""
X033,BIT,100029,"FC=02","",0,No,""
X034,BIT,100030,"FC=02","",0,No,""
X035,BIT,100031,"FC=02","",0,No,""
X036,BIT,100032,"FC=02","",0,No,""
X101,BIT,100033,"FC=02","",0,No,""
X102,BIT,100034,"FC=02","",0,No,""
X103,BIT,100035,"FC=02","",0,No,""
X104,BIT,100036,"FC=02","",0,No,""
X105,BIT,100037,"FC=02","",0,No,""
X106,BIT,100038,"FC=02","",0,No,""
X107,BIT,100039,"FC=02","",0,No,""
X108,BIT,100040,"FC=02","",0,No,""
X109,BIT,100041,"FC=02","",0,No,""
X110,BIT,100042,"FC=02","",0,No,""
X111,BIT,100043,"FC=02","",0,No,""
X112,BIT,100044,"FC=02","",0,No,""
X113,BIT,100045,"FC=02","",0,No,""
X114,BIT,100046,"FC=02","",0,No,""
X115,BIT,100047,"FC=02","",0,No,""
X116,BIT,100048,"FC=02","",0,No,""
X201,BIT,100065,"FC=02","",0,No,""
X202,BIT,100066,"FC=02","",0,No,""
X203,BIT,100067,"FC=02","",0,No,""
X204,BIT,100068,"FC=02","",0,No,""
X205,BIT,100069,"FC=02","",0,No,""
X206,BIT,100070,"FC=02","",0,No,""
X207,BIT,100071,"FC=02","",0,No,""
X208,BIT,100072,"FC=02","",0,No,""
X209,BIT,100073,"FC=02","",0,No,""
X210,BIT,100074,"FC=02","",0,No,""
X211,BIT,100075,"FC=02","",0,No,""
X212,BIT,100076,"FC=02","",0,No,""
X213,BIT,100077,"FC=02","",0,No,""
X214,BIT,100078,"FC=02","",0,No,""
X215,BIT,100079,"FC=02","",0,No,""
X216,BIT,100080,"FC=02","",0,No,""
X301,BIT,100097,"FC=02","",0,No,""
X302,BIT,100098,"FC=02","",0,No,""
X303,BIT,100099,"FC=02","",0,No,""
X304,BIT,100100,"FC=02","",0,No,""
X305,BIT,100101,"FC=02","",0,No,""
X306,BIT,100102,"FC=02","",0,No,""
X307,BIT,100103,"FC=02","",0,No,""
X308,BIT,100104,"FC=02","",0,No,""
X309,BIT,100105,"FC=02","",0,No,""
X310,BIT,100106,"FC=02","",0,No,""
X311,BIT,100107,"FC=02","",0,No,""
X312,BIT,100108,"FC=02","",0,No,""
X313,BIT,100109,"FC=02","",0,No,""
X314,BIT,100110,"FC=02","",0,No,""
X315,BIT,100111,"FC=02","",0,No,""
X316,BIT,100112,"FC=02","",0,No,""
X401,BIT,100129,"FC=02","",0,No,""
X402,BIT,100130,"FC=02","",0,No,""
X403,BIT,100131,"FC=02","",0,No,""
X404,BIT,100132,"FC=02","",0,No,""
X405,BIT,100133,"FC=02","",0,No,""
X406,BIT,100134,"FC=02","",0,No,""
X407,BIT,100135,"FC=02","",0,No,""
X408,BIT,100136,"FC=02","",0,No,""
X409,BIT,100137,"FC=02","",0,No,""
X410,BIT,100138,"FC=02","",0,No,""
X411,BIT,100139,"FC=02","",0,No,""
X412,BIT,100140,"FC=02","",0,No,""
X413,BIT,100141,"FC=02","",0,No,""
X414,BIT,100142,"FC=02","",0,No,""
X415,BIT,100143,"FC=02","",0,No,""
X416,BIT,100144,"FC=02","",0,No,""
X501,BIT,100161,"FC=02","",0,No,""
X502,BIT,100162,"FC=02","",0,No,""
X503,BIT,100163,"FC=02","",0,No,""
X504,BIT,100164,"FC=02","",0,No,""
X505,BIT,100165,"FC=02","",0,No,""
X506,BIT,100166,"FC=02","",0,No,""
X507,BIT,100167,"FC=02","",0,No,""
X508,BIT,100168,"FC=02","",0,No,""
X509,BIT,100169,"FC=02","",0,No,""
X510,BIT,100170,"FC=02","",0,No,""
X511,BIT,100171,"FC=02","",0,No,""
X512,BIT,100172,"FC=02","",0,No,""
X513,BIT,100173,"FC=02","",0,No,""
X514,BIT,100174,"FC=02","",0,No,""
X515,BIT,100175,"FC=02","",0,No,""
X516,BIT,100176,"FC=02","",0,No,""
X601,BIT,100193,"FC=02","",0,No,""
X602,BIT,100194,"FC=02","",0,No,""
X603,BIT,100195,"FC=02","",0,No,""
X604,BIT,100196,"FC=02","",0,No,""
X605,BIT,100197,"FC=02","",0,No,""
X606,BIT,100198,"FC=02","",0,No,""
X607,BIT,100199,"FC=02","",0,No,""
X608,BIT,100200,"FC=02","",0,No,""
X609,BIT,100201,"FC=02","",0,No,""
X610,BIT,100202,"FC=02","",0,No,""
X611,BIT,100203,"FC=02","",0,No,""
X612,BIT,100204,"FC=02","",0,No,""
X613,BIT,100205,"FC=02","",0,No,""
X614,BIT,100206,"FC=02","",0,No,""
X615,BIT,100207,"FC=02","",0,No,""
X616,BIT,100208,"FC=02","",0,No,""
X701,BIT,100225,"FC=02","",0,No,""
X702,BIT,100226,"FC=02","",0,No,""
X703,BIT,100227,"FC=02","",0,No,""
X704,BIT,100228,"FC=02","",0,No,""
X705,BIT,100229,"FC=02","",0,No,""
X706,BIT,100230,"FC=02","",0,No,""
X707,BIT,100231,"FC=02","",0,No,""
X708,BIT,100232,"FC=02","",0,No,""
X709,BIT,100233,"FC=02","",0,No,""
X710,BIT,100234,"FC=02","",0,No,""
X711,BIT,100235,"FC=02","",0,No,""
X712,BIT,100236,"FC=02","",0,No,""
X713,BIT,100237,"FC=02","",0,No,""
X714,BIT,100238,"FC=02","",0,No,""
X715,BIT,100239,"FC=02","",0,No,""
X716,BIT,100240,"FC=02","",0,No,""
X801,BIT,100257,"FC=02","",0,No,""
X802,BIT,100258,"FC=02","",0,No,""
X803,BIT,100259,"FC=02","",0,No,""
X804,BIT,100260,"FC=02","",0,No,""
X805,BIT,100261,"FC=02","",0,No,""
X806,BIT,100262,"FC=02","",0,No,""
X807,BIT,100263,"FC=02","",0,No,""
X808,BIT,100264,"FC=02","",0,No,""
X809,BIT,100265,"FC=02","",0,No,""
X810,BIT,100266,"FC=02","",0,No,""
X811,BIT,100267,"FC=02","",0,No,""
X812,BIT,100268,"FC=02","",0,No,""
X813,BIT,100269,"FC=02","",0,No,""
X814,BIT,100270,"FC=02","",0,No,""
X815,BIT,100271,"FC=02","",0,No,""
X816,BIT,100272,"FC=02","",0,No,""
Y001,BIT,8193,"FC=01,05,15","",0,No,""
Y002,BIT,8194,"FC=01,05,15","",0,No,""
Y003,BIT,8195,"FC=01,05,15","",0,No,""
Y004,BIT,8196,"FC=01,05,15","",0,No,""
Y005,BIT,8197,"FC=01,05,15","",0,No,""
Y006,BIT,8198,"FC=01,05,15","",0,No,""
Y007,BIT,8199,"FC=01,05,15","",0,No,""
Y008,BIT,8200,"FC=01,05,15","",0,No,""
Y009,BIT,8201,"FC=01,05,15","",0,No,""
Y010,BIT,8202,"FC=01,05,15","",0,No,""
Y011,BIT,8203,"FC=01,05,15","",0,No,""
Y012,BIT,8204,"FC=01,05,15","",0,No,""
Y013,BIT,8205,"FC=01,05,15","",0,No,""
Y014,BIT,8206,"FC=01,05,15","",0,No,""
Y015,BIT,8207,"FC=01,05,15","",0,No,""
Y016,BIT,8208,"FC=01,05,15","",0,No,""
Y021,BIT,8209,"FC=01,05,15","",0,No,""
Y022,BIT,8210,"FC=01,05,15","",0,No,""
Y023,BIT,8211,"FC=01,05,15","",0,No,""
Y024,BIT,8212,"FC=01,05,15","",0,No,""
Y025,BIT,8213,"FC=01,05,15","",0,No,""
Y026,BIT,8214,"FC=01,05,15","",0,No,""
Y027,BIT,8215,"FC=01,05,15","",0,No,""
Y028,BIT,8216,"FC=01,05,15","",0,No,""
Y029,BIT,8217,"FC=01,05,15","",0,No,""
Y030,BIT,8218,"FC=01,05,15","",0,No,""
Y031,BIT,8219,"FC=01,05,15","",0,No,""
Y032,BIT,8220,"FC=01,05,15","",0,No,""
Y033,BIT,8221,"FC=01,05,15","",0,No,""
Y034,BIT,8222,"FC=01,05,15","",0,No,""
Y035,BIT,8223,"FC=01,05,15","",0,No,""
Y036,BIT,8224,"FC=01,05,15","",0,No,""
Y101,BIT,8225,"FC=01,05,15","",0,No,""
Y102,BIT,8226,"FC=01,05,15","",0,No,""
Y103,BIT,8227,"FC=01,05,15","",0,No,""
Y104,BIT,8228,"FC=01,05,15","",0,No,""
Y105,BIT,8229,"FC=01,05,15","",0,No,""
Y106,BIT,8230,"FC=01,05,15","",0,No,""
Y107,BIT,8231,"FC=01,05,15","",0,No,""
Y108,BIT,8232,"FC=01,05,15","",0,No,""
Y109,BIT,8233,"FC=01,05,15","",0,No,""
Y110,BIT,8234,"FC=01,05,15","",0,No,""
Y111,BIT,8235,"FC=01,05,15","",0,No,""
Y112,BIT,8236,"FC=01,05,15","",0,No,""
Y113,BIT,8237,"FC=01,05,15","",0,No,""
Y114,BIT,8238,"FC=01,05,15","",0,No,""
Y115,BIT,8239,"FC=01,05,15","",0,No,""
Y116,BIT,8240,"FC=01,05,15","",0,No,""
Y201,BIT,8257,"FC=01,05,15","",0,No,""
Y202,BIT,8258,"FC=01,05,15","",0,No,""
Y203,BIT,8259,"FC=01,05,15","",0,No,""
Y204,BIT,8260,"FC=01,05,15","",0,No,""
Y205,BIT,8261,"FC=01,05,15","",0,No,""
Y206,BIT,8262,"FC=01,05,15","",0,No,""
Y207,BIT,8263,"FC=01,05,15","",0,No,""
Y208,BIT,8264,"FC=01,05,15","",0,No,""
Y209,BIT,8265,"FC=01,05,15","",0,No,""
Y210,BIT,8266,"FC=01,05,15","",0,No,""
Y211,BIT,8267,"FC=01,05,15","",0,No,""
Y212,BIT,8268,"FC=01,05,15","",0,No,""
Y213,BIT,8269,"FC=01,05,15","",0,No,""
Y214,BIT,8270,"FC=01,05,15","",0,No,""
Y215,BIT,8271,"FC=01,05,15","",0,No,""
Y216,BIT,8272,"FC=01,05,15","",0,No,""
Y301,BIT,8289,"FC=01,05,15","",0,No,""
Y302,BIT,8290,"FC=01,05,15","",0,No,""
Y303,BIT,8291,"FC=01,05,15","",0,No,""
Y304,BIT,8292,"FC=01,05,15","",0,No,""
Y305,BIT,8293,"FC=01,05,15","",0,No,""
Y306,BIT,8294,"FC=01,05,15","",0,No,""
Y307,BIT,8295,"FC=01,05,15","",0,No,""
Y308,BIT,8296,"FC=01,05,15","",0,No,""
Y309,BIT,8297,"FC=01,05,15","",0,No,""
Y310,BIT,8298,"FC=01,05,15","",0,No,""
Y311,BIT,8299,"FC=01,05,15","",0,No,""
Y312,BIT,8300,"FC=01,05,15","",0,No,""
Y313,BIT,8301,"FC=01,05,15","",0,No,""
Y314,BIT,8302,"FC=01,05,15","",0,No,""
Y315,BIT,8303,"FC=01,05,15","",0,No,""
Y316,BIT,8304,"FC=01,05,15","",0,No,""
Y401,BIT,8321,"FC=01,05,15","",0,No,""
Y402,BIT,8322,"FC=01,05,15","",0,No,""
Y403,BIT,8323,"FC=01,05,15","",0,No,""
Y404,BIT,8324,"FC=01,05,15","",0,No,""
Y405,BIT,8325,"FC=01,05,15","",0,No,""
Y406,BIT,8326,"FC=01,05,15","",0,No,""
Y407,BIT,8327,"FC=01,05,15","",0,No,""
Y408,BIT,8328,"FC=01,05,15","",0,No,""
Y409,BIT,8329,"FC=01,05,15","",0,No,""
Y410,BIT,8330,"FC=01,05,15","",0,No,""
Y411,BIT,8331,"FC=01,05,15","",0,No,""
Y412,BIT,8332,"FC=01,05,15","",0,No,""
Y413,BIT,8333,"FC=01,05,15","",0,No,""
Y414,BIT,8334,"FC=01,05,15","",0,No,""
Y415,BIT,8335,"FC=01,05,15","",0,No,""
Y416,BIT,8336,"FC=01,05,15","",0,No,""
Y501,BIT,8353,"FC=01,05,15","",0,No,""
Y502,BIT,8354,"FC=01,05,15","",0,No,""
Y503,BIT,8355,"FC=01,05,15","",0,No,""
Y504,BIT,8356,"FC=01,05,15","",0,No,""
Y505,BIT,8357,"FC=01,05,15","",0,No,""
Y506,BIT,8358,"FC=01,05,15","",0,No,""
Y507,BIT,8359,"FC=01,05,15","",0,No,""
Y508,BIT,8360,"FC=01,05,15","",0,No,""
Y509,BIT,8361,"FC=01,05,15","",0,No,""
Y510,BIT,8362,"FC=01,05,15","",0,No,""
Y511,BIT,8363,"FC=01,05,15","",0,No,""
Y512,BIT,8364,"FC=01,05,15","",0,No,""
Y513,BIT,8365,"FC=01,05,15","",0,No,""
Y514,BIT,8366,"FC=01,05,15","",0,No,""
Y515,BIT,8367,"FC=01,05,15","",0,No,""
Y516,BIT,8368,"FC=01,05,15","",0,No,""
Y601,BIT,8385,"FC=01,05,15","",0,No,""
Y602,BIT,8386,"FC=01,05,15","",0,No,""
