Address,Data Type,Modbus Address,Function Code,Nickname,Initial Value,Retentive,Address Comment
X001,BIT,0000h,"FC=02","",0,No,""
X002,BIT,0001h,"FC=02","",0,No,""
X003,BIT,0002h,"FC=02","",0,No,""
X004,BIT,0003h,"FC=02","",0,No,""
X005,BIT,0004h,"FC=02","",0,No,""
X006,BIT,0005h,"FC=02","",0,No,""
X007,BIT,0006h,"FC=02","",0,No,""
X008,BIT,0007h,"FC=02","",0,No,""
X009,BIT,0008h,"FC=02","",0,No,""
X010,BIT,0009h,"FC=02","",0,No,""
X011,BIT,000Ah,"FC=02","",0,No,""
X012,BIT,000Bh,"FC=02","",0,No,""
X013,BIT,000Ch,"FC=02","",0,No,""
X014,BIT,000Dh,"FC=02","",0,No,""
X015,BIT,000Eh,"FC=02","",0,No,""
X016,BIT,000Fh,"FC=02","",0,No,""
X021,BIT,0010h,"FC=02","",0,No,""
X022,BIT,0011h,"FC=02","",0,No,""
X023,BIT,0012h,"FC=02","",0,No,""
X024,BIT,0013h,"FC=02","",0,No,""
X025,BIT,0014h,"FC=02","",0,No,""
X026,BIT,0015h,"FC=02","",0,No,""
X027,BIT,0016h,"FC=02","",0,No,""
X028,BIT,0017h,"FC=02","",0,No,""
X029,BIT,0018h,"FC=02","",0,No,""
X030,BIT,0019h,"FC=02","",0,No,""
X031,BIT,001Ah,"FC=02","",0,No,""
X032,BIT,001Bh,"FC=02","",0,No,""
X033,BIT,001Ch,"FC=02","",0,No,""
X034,BIT,001Dh,"FC=02","",0,No,""
X035,BIT,001Eh,"FC=02","",0,No,""
X036,BIT,001Fh,"FC=02","",0,No,""
X101,BIT,0020h,"FC=02","",0,No,""
X102,BIT,0021h,"FC=02","",0,No,""
X103,BIT,0022h,"FC=02","",0,No,""
X104,BIT,0023h,"FC=02","",0,No,""
X105,BIT,0024h,"FC=02","",0,No,""
X106,BIT,0025h,"FC=02","",0,No,""
X107,BIT,0026h,"FC=02","",0,No,""
X108,BIT,0027h,"FC=02","",0,No,""
X109,BIT,0028h,"FC=02","",0,No,""
X110,BIT,0029h,"FC=02","",0,No,""
X111,BIT,002Ah,"FC=02","",0,No,""
X112,BIT,002Bh,"FC=02","",0,No,""
X113,BIT,002Ch,"FC=02","",0,No,""
X114,BIT,002Dh,"FC=02","",0,No,""
X115,BIT,002Eh,"FC=02","",0,No,""
X116,BIT,002Fh,"FC=02","",0,No,""
X201,BIT,0040h,"FC=02","",0,No,""
X202,BIT,0041h,"FC=02","",0,No,""
X203,BIT,0042h,"FC=02","",0,No,""
X204,BIT,0043h,"FC=02","",0,No,""
X205,BIT,0044h,"FC=02","",0,No,""
X206,BIT,0045h,"FC=02","",0,No,""
X207,BIT,0046h,"FC=02","",0,No,""
X208,BIT,0047h,"FC=02","",0,No,""
X209,BIT,0048h,"FC=02","",0,No,""
X210,BIT,0049h,"FC=02","",0,No,""
X211,BIT,004Ah,"FC=02","",0,No,""
X212,BIT,004Bh,"FC=02","",0,No,""
X213,BIT,004Ch,"FC=02","",0,No,""
X214,BIT,004Dh,"FC=02","",0,No,""
X215,BIT,004Eh,"FC=02","",0,No,""
X216,BIT,004Fh,"FC=02","",0,No,""
X301,BIT,0060h,"FC=02","",0,No,""
X302,BIT,0061h,"FC=02","",0,No,""
X303,BIT,0062h,"FC=02","",0,No,""
X304,BIT,0063h,"FC=02","",0,No,""
X305,BIT,0064h,"FC=02","",0,No,""
X306,BIT,0065h,"FC=02","",0,No,""
